iter	RMSE
0	637030.7482
1	597550.6312
2	560878.3857
3	528712.844
4	500411.0737
5	473546.5216
6	447599.77
7	422867.032
8	402439.9562
9	386175.9336
10	369510.054
11	355367.8218
12	342026.9475
13	328848.6023
14	318693.2138
15	309825.3071
16	299788.1946
17	291481.4769
18	285236.7474
19	278008.0353
20	271624.1081
21	266602.4432
22	262765.0213
23	258049.6777
24	253715.9554
25	250412.5999
26	246246.8372
27	243141.0458
28	240033.8513
29	236232.7019
30	233838.6713
31	230205.8603
32	226342.0705
33	224038.6476
34	221900.5394
35	220082.5069
36	219100.9085
37	215771.2007
38	212838.6244
39	211420.2008
40	210320.4713
41	208707.6179
42	207611.6838
43	206836.0022
44	205271.0615
45	202814.7524
46	202429.8738
47	200373.584
48	199825.0712
49	198358.8065
50	197273.9553
51	196660.4121
52	195272.5563
53	194995.4161
54	193796.8944
55	192742.7392
56	190846.0963
57	189226.5268
58	188801.2051
59	187401.5801
60	187133.4319
61	186908.0565
62	185952.941
63	185743.4372
64	185293.0763
65	183856.6466
66	182990.7109
67	182313.9077
68	181980.5848
69	181883.0912
70	181178.6124
71	180544.3865
72	180047.8312
73	179584.8569
74	179225.9818
75	177574.6885
76	177308.5011
77	176574.7901
78	176020.9749
79	175740.8275
80	175546.7191
81	174426.7854
82	174146.7361
83	173731.9458
84	173330.1263
85	172921.4029
86	172440.2826
87	172194.5204
88	171912.0402
89	171572.5255
90	171203.8834
91	170748.5966
92	170210.7738
93	169960.8063
94	169752.4903
95	168828.4812
96	168321.3117
97	168147.4121
98	167820.7141
99	167661.2108
100	166737.1494
101	166512.9867
102	166226.3628
103	166140.1572
104	166025.9767
105	165537.7521
106	164970.3066
107	164850.9271
108	164572.9078
109	164420.2527
110	163804.9995
111	163458.9164
112	162403.4307
113	161726.7532
114	161635.4688
115	160784.4509
116	160523.0576
117	160417.128
118	160340.1551
119	159659.0125
120	158963.9989
121	158665.045
122	158382.3603
123	158289.6303
124	158266.5412
125	158002.1874
126	157855.7274
127	157663.5626
128	157301.3222
129	157240.9452
130	156815.5102
131	156708.4429
132	156689.1592
133	156672.9687
134	156550.0924
135	156086.5007
136	155946.4137
137	155599.0559
138	154188.0549
139	154120.8188
140	154057.2438
141	153880.0251
142	153824.3994
143	153789.2453
144	153240.7299
145	152736.048
146	152383.4574
147	152169.6731
148	152020.5869
149	151692.408
150	151527.25
151	151455.0271
152	151400.6928
153	151029.3591
154	151018.1789
155	150910.8129
156	150863.7741
157	150837.7896
158	150735.0968
159	150215.1214
160	149561.3334
161	149550.8297
162	149092.6064
163	149055.4314
164	148887.5312
165	148501.9562
166	148316.3985
167	147689.5077
168	147294.0526
169	147019.7891
170	146981.2418
171	146856.1051
172	146818.9657
173	146006.4636
174	145967.2278
175	145774.0434
176	145762.2562
177	145637.869
178	145582.0433
179	144881.361
180	144748.6117
181	144634.7583
182	144524.7667
183	144149.991
184	144101.4996
185	143619.2602
186	143510.6178
187	143267.326
188	143116.7261
189	142526.9133
190	142312.1676
191	142296.4753
192	142166.166
193	142038.7131
194	141947.6835
195	141935.3061
196	141752.4335
197	141652.5404
198	141414.3176
199	141132.5663
200	140879.4449
201	140739.2055
202	140652.5306
203	140368.2497
204	140218.7058
205	140179.5745
206	140041.5292
207	140037.0925
208	139867.9471
209	139845.4185
210	139718.3946
211	139600.4352
212	139359.7922
213	139318.7837
214	139277.0059
215	139261.2624
216	139150.2047
217	139102.2729
218	138987.2341
219	138954.8433
220	138922.9409
221	138860.2606
222	138744.2957
223	138713.7413
224	138675.0753
225	138580.3899
226	138553.7344
227	138448.074
228	138410.0304
229	138324.6216
230	138287.895
231	138136.6173
232	138005.9455
233	137960.4864
234	137927.8097
235	137729.8803
236	137487.7771
237	137306.232
238	137226.0829
239	137145.8882
240	136962.4223
241	136944.2433
242	136940.644
243	136794.3233
244	136778.2453
245	136736.2161
246	136510.0051
247	136421.8913
248	136352.3699
249	135480.9312
250	135333.5342
251	134986.7127
252	134850.5668
253	134847.2017
254	134706.9024
255	134348.2211
256	133965.8315
257	133940.207
258	133822.8989
259	133673.0453
260	133549.4581
261	133484.3545
262	133286.7218
263	133227.4901
264	133200.8271
265	133078.1332
266	133010.2433
267	132963.829
268	132882.8277
269	132752.6561
270	132707.6646
271	132638.5946
272	132368.2967
273	132339.0546
274	132213.1638
275	131629.4338
276	131537.6089
277	131260.6114
278	131225.938
279	131043.6422
280	130903.5442
281	130897.8707
282	130820.5671
283	130185.5228
284	129976.6985
285	129954.7504
286	129808.1907
287	129757.1101
288	129703.8561
289	129632.8584
290	129531.4627
291	129350.5445
292	129291.6437
293	129226.1406
294	129200.0931
295	129189.1038
296	129151.1319
297	128778.7397
298	128737.7608
299	128669.39
300	128556.1751
301	128451.9184
302	128396.2559
303	128236.5388
304	128206.9137
305	128190.9324
306	128065.4676
307	128048.9334
308	127930.4737
309	127878.389
310	127606.9612
311	127604.6424
312	127466.777
313	127433.2137
314	127245.679
315	127185.2837
316	127127.0942
317	127061.5135
318	127000.6373
319	126903.5221
320	126835.2327
321	126644.0109
322	126607.7765
323	126590.4338
324	126588.8651
325	126505.3555
326	126394.4058
327	126348.8885
328	126272.7089
329	126143.774
330	126111.4796
331	126076.8692
332	126047.0333
333	125777.9165
334	125685.7891
335	125366.6155
336	125163.9292
337	124880.7005
338	124849.6456
339	124800.8193
340	124608.3116
341	124586.5653
342	124584.5091
343	124538.7367
344	124321.2008
345	124317.5074
346	124234.0205
347	124178.8106
348	124077.4346
349	123967.3538
350	123963.5364
351	123827.6485
352	123788.3229
353	123523.2249
354	123496.7026
355	123481.0524
356	123466.3316
357	123440.0153
358	123343.0639
359	123063.7239
360	123047.3448
361	122987.9089
362	122822.6374
363	122808.8416
364	122639.5114
365	122506.6985
366	122447.7863
367	122298.6345
368	122271.2435
369	122148.3786
370	122088.5651
371	121972.8497
372	121888.7275
373	121845.9917
374	121833.6062
375	121768.2726
376	121640.2641
377	121526.1821
378	121339.1224
379	121271.8903
380	121270.6153
381	121251.3898
382	121247.2783
383	121245.9767
384	121204.9772
385	121169.6741
386	121114.2488
387	121068.0049
388	121065.3957
389	121002.3095
390	120732.4203
391	120650.568
392	120649.5748
393	120620.0723
394	120595.5172
395	120566.5643
396	120454.3468
397	120432.9589
398	120381.3608
399	120335.192
400	120279.6364
401	120254.3608
402	120215.1078
403	120126.71
404	120109.6625
405	119787.1994
406	119740.1183
407	119561.5356
408	119099.3114
409	119047.8396
410	118980.9547
411	118979.5446
412	118926.8431
413	118890.3783
414	118875.5884
415	118805.427
416	118706.3296
417	118462.7821
418	118416.8615
419	118373.1034
420	118372.1385
421	118335.3594
422	118187.8719
423	118103.208
424	118059.4231
425	117897.9606
426	117844.6374
427	117711.9896
428	117138.8445
429	117116.3654
430	117046.9624
431	116919.2917
432	116878.351
433	116868.3301
434	116706.2145
435	116617.3787
436	116591.8735
437	116430.3111
438	116384.1009
439	116351.5138
440	116347.1232
441	116346.5154
442	116341.7209
443	116140.3208
444	115916.9782
445	115708.409
446	115691.2881
447	115613.8331
448	115587.7897
449	115530.9541
450	115344.8605
451	115116.1481
452	115085.8096
453	115056.9851
454	114962.2743
455	114915.9284
456	114905.3261
457	114663.5888
458	114660.2209
459	114649.8251
460	114609.7739
461	114577.6049
462	114567.2776
463	114530.4226
464	114520.2041
465	114468.3464
466	114387.3399
467	114328.1357
468	114304.4525
469	114298.7467
470	114192.9799
471	114056.3427
472	113999.8968
473	113973.3307
474	113958.663
475	113923.4139
476	113788.3151
477	113689.371
478	113655.3386
479	113648.482
480	113620.118
481	113488.9451
482	113462.8873
483	113382.5924
484	113370.35
485	113248.3157
486	113227.873
487	113188.819
488	113182.3344
489	113105.2313
490	113068.5005
491	113037.2411
492	112931.3531
493	112899.0442
494	112846.9649
495	112807.5346
496	112690.6472
497	112544.8419
498	112334.461
499	112201.5221
500	112111.0129
501	112108.91
502	111990.0556
503	111964.7947
504	111945.1789
505	111876.4372
506	111863.3508
507	111746.682
508	111686.4108
509	111562.5484
510	111540.7557
511	111534.3464
512	111275.4263
513	111246.4379
514	111188.6556
515	111137.4882
516	111122.4546
517	111101.8535
518	111086.501
519	111070.4835
520	111068.6393
521	111014.2336
522	111010.8136
523	110904.2702
524	110822.4837
525	110808.1632
526	110714.2028
527	110700.9619
528	110685.7768
529	110485.9717
530	110377.252
531	110362.0708
532	110270.9251
533	110269.9697
534	110218.8243
535	110205.8335
536	110196.0637
537	110176.5589
538	110102.7295
539	109924.6542
540	109901.8303
541	109808.1757
542	109787.3929
543	109748.237
544	109698.1195
545	109647.3266
546	109572.9814
547	109543.5097
548	109519.0544
549	109502.3976
550	109398.2518
551	109179.9304
552	109148.7178
553	109147.2333
554	108944.2745
555	108911.5744
556	108750.5627
557	108734.7173
558	108726.0457
559	108641.3729
560	108513.2819
561	108488.6573
562	108440.0285
563	108275.8417
564	108183.9794
565	108163.2563
566	108146.4363
567	108118.3016
568	107925.8175
569	107902.3501
570	107887.618
571	107806.41
572	107778.6844
573	107672.6504
574	107628.4665
575	107552.0707
576	107508.8951
577	107494.1457
578	107493.179
579	107379.3021
580	107230.8401
581	107230.2135
582	107207.3001
583	107110.5006
584	107063.1887
585	106950.8489
586	106889.6981
587	106830.2774
588	106785.9626
589	106732.5051
590	106721.9564
591	106640.5254
592	106633.842
593	106628.9982
594	106606.1583
595	106569.0085
596	106508.737
597	106408.6795
598	106394.5498
599	106353.6896
600	106343.6736
601	106272.7558
602	105952.3628
603	105774.0023
604	105736.861
605	105658.973
606	105581.0616
607	105537.6778
608	105535.5856
609	105534.5988
610	105448.4321
611	105443.7958
612	105408.4427
613	105324.1528
614	105319.4651
615	105233.6108
616	105152.3414
617	105084.7949
618	104921.4572
619	104858.9432
620	104736.6111
621	104642.6506
622	104614.3864
623	104608.4274
624	104499.1129
625	104488.8649
626	104427.5096
627	104413.3053
628	104339.4092
629	104316.2413
630	104308.8842
631	104282.4131
632	104255.9786
633	104155.4472
634	104150.1537
635	104130.2548
636	104115.9744
637	104073.0748
638	104053.1109
639	103963.9733
640	103958.7984
641	103922.4526
642	103920.9382
643	103884.4761
644	103841.0821
645	103761.1771
646	103730.6279
647	103705.9873
648	103640.4271
649	103597.2999
650	103591.7094
651	103514.5542
652	103432.4852
653	103416.9785
654	103374.2112
655	103373.114
656	103345.5792
657	103292.1898
658	103276.9787
659	103270.9612
660	103130.3266
661	103120.7179
662	103085.912
663	103073.3902
664	103059.9044
665	102988.6759
666	102911.6811
667	102828.3202
668	102743.8872
669	102707.6181
670	102586.7893
671	102538.7977
672	102514.1736
673	102395.5721
674	102358.686
675	102346.1093
676	102305.4515
677	102285.9017
678	102262.6594
679	102215.6673
680	102204.3356
681	102165.7842
682	102163.2079
683	102158.2996
684	102133.5887
685	102129.6006
686	102114.5337
687	102045.2178
688	101938.2733
689	101936.3155
690	101931.4788
691	101922.9997
692	101824.906
693	101714.6832
694	101714.5956
695	101688.9888
696	101645.767
697	101598.8105
698	101502.7804
699	101454.6991
700	101441.4918
701	101420.9695
702	101390.8525
703	101371.3676
704	101365.8248
705	101357.4262
706	101341.7229
707	101332.2574
708	101314.8927
709	101312.0745
710	101282.4474
711	101276.8718
712	101244.3919
713	101155.6741
714	101123.423
715	101082.4311
716	101072.9559
717	101050.918
718	101000.3731
719	100969.387
720	100935.5059
721	100929.1566
722	100919.5202
723	100897.5182
724	100888.4737
725	100774.3484
726	100679.9508
727	100625.9333
728	100606.7363
729	100586.0555
730	100574.8578
731	100571.9293
732	100554.6089
733	100525.442
734	100469.5999
735	100438.9271
736	100423.7395
737	100408.2996
738	100363.8656
739	100324.5633
740	100298.154
741	100228.5822
742	100228.1371
743	100197.9091
744	100153.3707
745	100103.8707
746	100061.1984
747	100036.5634
748	99994.76738
749	99976.30723
750	99925.23139
751	99902.84742
752	99853.67707
753	99820.87068
754	99773.85043
755	99700.76678
756	99610.80826
757	99604.20033
758	99575.75593
759	99571.50763
760	99551.85579
761	99538.05958
762	99499.18467
763	99481.9425
764	99456.72647
765	99441.88768
766	99394.21885
767	99371.87146
768	99345.2662
769	99332.9512
770	99321.64433
771	99262.59057
772	99186.51818
773	99136.36439
774	99098.37446
775	99003.62782
776	98938.71913
777	98892.37587
778	98859.15299
779	98617.48505
780	98592.29804
781	98545.96335
782	98522.57181
783	98458.18174
784	98430.65651
785	98344.67217
786	98340.13421
787	98233.33986
788	98203.47151
789	98191.09601
790	98160.24475
791	98128.84388
792	98095.37231
793	98048.11052
794	98035.88726
795	98011.35908
796	97991.38014
797	97938.39631
798	97877.38671
799	97801.46378
800	97772.7165
801	97601.5202
802	97590.64606
803	97504.30382
804	97472.36777
805	97472.30765
806	97462.46163
807	97440.71492
808	97394.30695
809	97388.66757
810	97372.84785
811	97346.58095
812	97254.78647
813	97209.72492
814	97199.48501
815	97194.51298
816	97173.10437
817	97155.73746
818	97105.8651
819	97070.3962
820	97053.36086
821	97048.37041
822	97033.00329
823	97010.25765
824	96928.17685
825	96908.69317
826	96906.70292
827	96890.78126
828	96824.85005
829	96802.49598
830	96770.99547
831	96739.03283
832	96732.36237
833	96719.48529
834	96710.51572
835	96672.39254
836	96633.80294
837	96610.85714
838	96576.45831
839	96540.07461
840	96509.02682
841	96468.4859
842	96428.03694
843	96412.96116
844	96363.9077
845	96330.39293
846	96315.35076
847	96267.48007
848	96244.81943
849	96238.45689
850	96191.85959
851	96139.88699
852	96130.72977
853	96102.23179
854	96072.37855
855	96058.64647
856	96044.69808
857	96009.61954
858	95981.72752
859	95958.52201
860	95957.32984
861	95909.4936
862	95866.05457
863	95859.2734
864	95823.6068
865	95790.81188
866	95781.22892
867	95734.60485
868	95708.00824
869	95695.22301
870	95694.27759
871	95666.45361
872	95628.05384
873	95611.49822
874	95605.60129
875	95571.66393
876	95510.79881
877	95442.47616
878	95442.14907
879	95389.02188
880	95385.12769
881	95376.74823
882	95363.98035
883	95345.95887
884	95316.05841
885	95205.27098
886	95123.29225
887	95043.52722
888	95024.99839
889	95017.56219
890	95011.81733
891	94970.02228
892	94964.48181
893	94958.67213
894	94929.7858
895	94921.88871
896	94909.07196
897	94821.93565
898	94810.90484
899	94778.87841
900	94716.82874
901	94654.33457
902	94625.67703
903	94591.28668
904	94575.6829
905	94567.70006
906	94537.55423
907	94497.97565
908	94426.29829
909	94423.09021
910	94416.50974
911	94306.3071
912	94214.59002
913	94178.20726
914	94143.55514
915	94109.14436
916	94097.16862
917	94073.15091
918	94041.67494
919	94006.35691
920	94001.09173
921	93989.17243
922	93948.20881
923	93933.96543
924	93873.47215
925	93838.6452
926	93821.49833
927	93806.30281
928	93747.90737
929	93722.61853
930	93712.82842
931	93702.95451
932	93687.83329
933	93662.94799
934	93639.76199
935	93608.51969
936	93561.17262
937	93541.08623
938	93477.50029
939	93437.41927
940	93382.50841
941	93329.46457
942	93315.5171
943	93311.73848
944	93256.95931
945	93225.13614
946	93164.65159
947	93153.15361
948	93120.05997
949	93109.30569
950	93100.26058
951	93085.54705
952	93081.88355
953	93080.9399
954	93053.47414
955	93005.8921
956	92954.37999
957	92940.39937
958	92905.86032
959	92869.61866
960	92862.23217
961	92842.87817
962	92817.73045
963	92779.96276
964	92777.55377
965	92764.85226
966	92736.33732
967	92708.52387
968	92693.3045
969	92639.83587
970	92626.94862
971	92611.90951
972	92596.02761
973	92564.36821
974	92542.72133
975	92500.83963
976	92477.33597
977	92448.83857
978	92419.995
979	92412.99214
980	92407.94962
981	92401.80519
982	92336.12666
983	92173.70129
984	92173.55792
985	92171.69463
986	92128.85192
987	92106.42039
988	92097.25496
989	92079.84089
990	92064.07162
991	92040.54192
992	92008.61244
993	92003.31508
994	91983.42761
995	91955.43168
996	91943.13437
997	91922.51339
998	91922.36842
999	91914.79293
