iter	Passed	Remaining
0	65	65523
1	70	35345
2	76	25425
3	82	20645
4	88	17662
5	93	15521
6	99	14133
7	106	13227
8	112	12346
9	119	11842
10	125	11284
11	131	10827
12	137	10421
13	142	10030
14	147	9693
15	154	9494
16	159	9200
17	164	8975
18	170	8802
19	175	8598
20	181	8451
21	187	8341
22	192	8181
23	198	8086
24	204	7989
25	210	7898
26	216	7791
27	221	7673
28	226	7568
29	232	7518
30	237	7439
31	242	7348
32	248	7275
33	253	7214
34	258	7139
35	265	7116
36	271	7055
37	277	7023
38	282	6969
39	288	6932
40	294	6891
41	299	6829
42	305	6797
43	311	6778
44	316	6726
45	323	6704
46	329	6685
47	335	6658
48	342	6643
49	348	6628
50	353	6580
51	359	6546
52	364	6509
53	369	6477
54	377	6486
55	383	6463
56	389	6449
57	397	6451
58	401	6410
59	407	6387
60	414	6376
61	421	6370
62	428	6366
63	433	6337
64	439	6320
65	445	6306
66	451	6284
67	457	6264
68	462	6246
69	468	6230
70	475	6216
71	481	6200
72	487	6189
73	492	6166
74	498	6152
75	504	6134
76	511	6126
77	516	6101
78	522	6087
79	527	6068
80	533	6058
81	539	6040
82	546	6038
83	552	6020
84	558	6008
85	563	5991
86	570	5986
87	575	5963
88	581	5955
89	587	5942
90	594	5935
91	600	5923
92	605	5904
93	611	5894
94	617	5886
95	623	5875
96	629	5862
97	635	5852
98	641	5836
99	647	5824
100	654	5824
101	660	5817
102	666	5803
103	672	5796
104	680	5802
105	687	5798
106	692	5781
107	699	5777
108	705	5765
109	710	5748
110	717	5745
111	724	5742
112	729	5728
113	735	5714
114	741	5707
115	747	5696
116	753	5686
117	760	5687
118	766	5677
119	772	5666
120	779	5665
121	787	5664
122	794	5663
123	799	5647
124	803	5627
125	810	5619
126	818	5623
127	824	5617
128	831	5613
129	839	5616
130	847	5624
131	853	5615
132	861	5615
133	870	5624
134	878	5630
135	884	5621
136	890	5612
137	897	5606
138	902	5588
139	908	5579
140	914	5571
141	920	5563
142	927	5560
143	934	5555
144	941	5551
145	948	5550
146	955	5546
147	966	5565
148	980	5598
149	986	5589
150	993	5586
151	998	5570
152	1005	5565
153	1012	5560
154	1017	5548
155	1024	5541
156	1030	5532
157	1035	5516
158	1039	5500
159	1044	5483
160	1050	5476
161	1056	5464
162	1062	5456
163	1067	5443
164	1074	5439
165	1085	5452
166	1091	5445
167	1098	5439
168	1103	5425
169	1110	5420
170	1115	5408
171	1122	5405
172	1127	5388
173	1133	5381
174	1139	5370
175	1143	5354
176	1148	5342
177	1154	5331
178	1159	5317
179	1165	5309
180	1171	5299
181	1176	5286
182	1181	5274
183	1187	5267
184	1193	5259
185	1200	5253
186	1205	5242
187	1211	5233
188	1218	5228
189	1222	5211
190	1228	5203
191	1233	5191
192	1239	5181
193	1244	5170
194	1249	5159
195	1254	5145
196	1260	5137
197	1266	5129
198	1273	5126
199	1279	5116
200	1285	5111
201	1292	5104
202	1298	5098
203	1304	5091
204	1309	5078
205	1314	5066
206	1320	5059
207	1326	5049
208	1331	5040
209	1337	5032
210	1344	5027
211	1350	5018
212	1355	5009
213	1362	5004
214	1369	5000
215	1374	4990
216	1382	4986
217	1387	4975
218	1392	4966
219	1399	4962
220	1404	4952
221	1415	4961
222	1421	4953
223	1429	4951
224	1435	4944
225	1439	4931
226	1447	4928
227	1454	4926
228	1462	4924
229	1469	4920
230	1476	4916
231	1482	4909
232	1488	4899
233	1492	4886
234	1498	4877
235	1504	4870
236	1510	4862
237	1515	4853
238	1522	4848
239	1528	4839
240	1534	4833
241	1539	4823
242	1546	4816
243	1550	4804
244	1556	4795
245	1561	4786
246	1566	4776
247	1572	4769
248	1578	4759
249	1583	4749
250	1588	4739
251	1593	4730
252	1600	4726
253	1607	4720
254	1614	4715
255	1620	4708
256	1626	4701
257	1632	4694
258	1638	4687
259	1643	4678
260	1649	4670
261	1656	4665
262	1662	4658
263	1668	4650
264	1675	4646
265	1680	4637
266	1685	4626
267	1691	4619
268	1695	4608
269	1701	4600
270	1707	4593
271	1712	4583
272	1718	4575
273	1722	4564
274	1729	4559
275	1735	4552
276	1740	4543
277	1745	4534
278	1751	4527
279	1757	4520
280	1763	4512
281	1770	4507
282	1776	4501
283	1783	4495
284	1790	4492
285	1796	4486
286	1803	4480
287	1808	4471
288	1813	4461
289	1819	4453
290	1824	4444
291	1830	4437
292	1836	4432
293	1842	4423
294	1849	4419
295	1853	4407
296	1859	4400
297	1864	4392
298	1870	4385
299	1877	4379
300	1882	4372
301	1889	4367
302	1895	4359
303	1901	4353
304	1907	4345
305	1912	4336
306	1919	4331
307	1925	4326
308	1931	4320
309	1936	4309
310	1942	4302
311	1946	4292
312	1952	4286
313	1958	4279
314	1965	4273
315	1971	4266
316	1976	4259
317	1982	4251
318	1986	4241
319	1992	4234
320	1998	4227
321	2003	4219
322	2008	4209
323	2013	4201
324	2018	4191
325	2023	4183
326	2030	4179
327	2036	4172
328	2042	4165
329	2048	4158
330	2054	4151
331	2059	4144
332	2066	4138
333	2072	4132
334	2078	4125
335	2082	4116
336	2089	4111
337	2095	4103
338	2099	4093
339	2106	4088
340	2111	4079
341	2116	4071
342	2120	4061
343	2125	4052
344	2131	4046
345	2135	4035
346	2139	4026
347	2143	4016
348	2148	4007
349	2153	4000
350	2159	3993
351	2165	3985
352	2169	3976
353	2176	3971
354	2183	3966
355	2189	3961
356	2195	3953
357	2201	3948
358	2208	3943
359	2214	3937
360	2219	3928
361	2224	3920
362	2230	3913
363	2235	3906
364	2241	3900
